Reconstruction Loss: 0.32164260745048523, KLD Loss: -16.49664306640625
Reconstruction Loss: 0.15298229455947876, KLD Loss: -32425.974609375
Reconstruction Loss: 0.19395291805267334, KLD Loss: -202.16163635253906
Reconstruction Loss: 0.22939644753932953, KLD Loss: -216.53244018554688
Reconstruction Loss: 0.23515042662620544, KLD Loss: -198.11807250976562
Reconstruction Loss: 0.16761386394500732, KLD Loss: -121.76698303222656
Reconstruction Loss: 0.11684516072273254, KLD Loss: -131.3151397705078
Reconstruction Loss: 0.10439275205135345, KLD Loss: -213.6167755126953
Reconstruction Loss: 0.10435330122709274, KLD Loss: -263.87933349609375
Reconstruction Loss: 0.10286349058151245, KLD Loss: -209.3907012939453
Reconstruction Loss: 0.09407399594783783, KLD Loss: -135.59234619140625
Reconstruction Loss: 0.12444844841957092, KLD Loss: -191.3189239501953
Reconstruction Loss: 0.10418306291103363, KLD Loss: -187.91854858398438
Reconstruction Loss: 0.11066853255033493, KLD Loss: -155.7646484375
Reconstruction Loss: 0.09314130246639252, KLD Loss: -161.88845825195312
Reconstruction Loss: 0.088035449385643, KLD Loss: -232.77731323242188
Reconstruction Loss: 0.08411693572998047, KLD Loss: -242.34210205078125
Reconstruction Loss: 0.08259434998035431, KLD Loss: -155.21337890625
Reconstruction Loss: 0.0826205313205719, KLD Loss: -118.75941467285156
Reconstruction Loss: 0.08033604174852371, KLD Loss: -98.21839904785156
Reconstruction Loss: 0.07762521505355835, KLD Loss: -93.23432159423828
Reconstruction Loss: 0.10778234899044037, KLD Loss: -99.8201675415039
Reconstruction Loss: 0.10904016345739365, KLD Loss: -86.55792999267578
Reconstruction Loss: 0.08847557008266449, KLD Loss: -80.314697265625
Reconstruction Loss: 0.0777490958571434, KLD Loss: -84.49630737304688
Reconstruction Loss: 0.08064597845077515, KLD Loss: -104.50518798828125
Reconstruction Loss: 0.07918000966310501, KLD Loss: -92.95620727539062
Reconstruction Loss: 0.07864601910114288, KLD Loss: -84.92813110351562
Reconstruction Loss: 0.07815758138895035, KLD Loss: -69.76548767089844
Reconstruction Loss: 0.0875501036643982, KLD Loss: -73.18861389160156
Reconstruction Loss: 0.08245193213224411, KLD Loss: -56.91032409667969
Reconstruction Loss: 0.0790148675441742, KLD Loss: -58.395240783691406
Reconstruction Loss: 0.08767970651388168, KLD Loss: -68.65184020996094
Reconstruction Loss: 0.08353783935308456, KLD Loss: -65.66082763671875
